Make,Model,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,class,prestige
Volkswagen,Caddy,Minivan,181000.0,1600.0,Diesel,Manual,10800.0,11,16454.545454545456,4,2
Porsche,Cayenne,SUV,260000.0,4500.0,Petrol,Automatic,7600.0,17,15294.117647058823,4,2
BMW,5 Series,Sedan,210710.0,200.0,Diesel,Automatic,16450.0,11,19155.454545454544,5,1
Mercedes,A Class,Hatchback,178000.0,1500.0,Petrol,Manual,5400.0,12,14833.333333333334,3,3
Peugeot,Rare,Sedan,111111.0,2000.0,Petrol,Manual,3100.0,16,6944.4375,3,4
Ford,Focus,Universal,190000.0,1500.0,Diesel,Manual,7500.0,6,31666.666666666668,4,2
Volvo,S60,Sedan,182431.0,1596.0,Petrol,Automatic,10500.0,11,16584.636363636364,4,2
Mercedes,C Class,Sedan,160000.0,1600.0,Metan/Propan,Automatic,7900.0,13,12307.692307692309,4,2
Lexus,Es Series,Sedan,79118.0,2400.0,Hybrid,Automatic,16100.0,10,7911.8,5,1
Audi,A5,Coupe,178545.0,2000.0,Petrol,Manual,9799.0,12,14878.75,4,2
BMW,3 Series,Sedan,45000.0,2000.0,Plug-in Hybrid,Automatic,19500.0,4,11250.0,5,1
Renault,Kadjar,Crossover,136000.0,1500.0,Diesel,Automatic,12500.0,6,22666.666666666668,5,1
Skoda,Superb,Universal,195000.0,2000.0,Diesel,Automatic,15300.0,7,27857.14285714286,5,1
Skoda,Superb,Sedan,181000.0,2000.0,Diesel,Automatic,14800.0,8,22625.0,5,1
Toyota,Avensis,Sedan,72000.0,1987.0,Petrol,Automatic,14000.0,9,8000.0,5,1
Mercedes,Vito,Microvan,266000.0,2200.0,Diesel,Manual,8490.0,14,19000.0,4,2
Chevrolet,Rare,Hatchback,224000.0,1600.0,Petrol,Manual,2550.0,17,13176.470588235294,2,4
Volkswagen,Rare,Sedan,290000.0,1600.0,Petrol,Manual,2990.0,21,13809.52380952381,2,4
Honda,CR-V,Crossover,169200.0,2200.0,Diesel,Manual,17250.0,8,21150.0,5,1
Hyundai,Santa FE,Crossover,278000.0,2200.0,Diesel,Manual,7850.0,16,17375.0,4,2
Skoda,Fabia,Universal,162000.0,1200.0,Diesel,Manual,4950.0,11,14727.272727272728,3,3
Honda,Civic,Sedan,170000.0,1330.0,Hybrid,Automatic,5750.0,14,12142.857142857143,3,3
Mercedes,A Class,Hatchback,230000.0,1600.0,Petrol,Automatic,2199.0,22,10454.545454545454,2,4
BMW,3 Series,Sedan,210000.0,3000.0,Diesel,Manual,2500.0,16,13125.0,2,4
Opel,Astra,Universal,189000.0,1300.0,Diesel,Manual,6000.0,10,18900.0,3,3
Toyota,Auris,Universal,104000.0,1800.0,Hybrid,Automatic,10000.0,7,14857.142857142857,4,2
Toyota,Prius,Hatchback,259000.0,1500.0,Hybrid,Automatic,6000.0,14,18500.0,3,3
Mazda,Rare,Hatchback,270000.0,1800.0,Petrol,Manual,2700.0,21,12857.142857142857,2,4
Skoda,Rapid,Universal,92500.0,1400.0,Diesel,Manual,7700.0,5,18500.0,4,2
Opel,Zafira,Minivan,186713.0,1800.0,Petrol,Manual,5200.0,16,11669.5625,3,3
Opel,Zafira,Minivan,60000.0,1800.0,Metan/Propan,Automatic,4900.0,16,3750.0,3,3
BMW,3 Series,Sedan,212000.0,2000.0,Petrol,Manual,6690.0,14,15142.857142857143,3,3
Hyundai,Getz,Hatchback,175000.0,1500.0,Diesel,Manual,3900.0,15,11666.666666666666,3,3
Skoda,Superb,Sedan,196000.0,2000.0,Diesel,Automatic,15690.0,7,28000.0,5,1
Dacia,Lodgy,Universal,179000.0,1500.0,Diesel,Manual,6900.0,10,17900.0,3,2
Volkswagen,Passat,Sedan,183000.0,1400.0,Metan/Propan,Automatic,10200.0,10,18300.0,4,2
BMW,5 Series,Sedan,243000.0,2500.0,Petrol,Automatic,7990.0,16,15187.5,4,2
Renault,Grand Scenic,Universal,162000.0,1500.0,Diesel,Automatic,8790.0,7,23142.85714285714,4,2
Skoda,Octavia,Hatchback,200000.0,1400.0,Petrol,Manual,9000.0,6,33333.333333333336,4,2
Porsche,Cayenne,SUV,155000.0,3000.0,Plug-in Hybrid,Automatic,48000.0,6,25833.33333333333,5,1
Chevrolet,Aveo,Universal,72000.0,1400.0,Petrol,Manual,5500.0,11,6545.454545454545,3,3
Renault,Rare,Sedan,270000.0,1400.0,Metan/Propan,Manual,2450.0,20,13500.0,2,4
Volkswagen,Caddy,Minivan,250000.0,1600.0,Diesel,Manual,7000.0,10,25000.0,3,2
Toyota,Avensis,Sedan,178000.0,2000.0,Petrol,Manual,7190.0,14,12714.285714285714,4,2
Opel,Astra,Universal,97000.0,1600.0,Diesel,Manual,10990.0,5,19400.0,4,2
Nissan,Qashqai,Crossover,199000.0,1500.0,Diesel,Manual,14400.0,6,33166.666666666664,5,1
Honda,Civic,Sedan,188000.0,1300.0,Hybrid,Automatic,6700.0,11,17090.909090909092,3,3
Audi,A4,Sedan,158000.0,2000.0,Petrol,Automatic,9990.0,12,13166.666666666666,4,2
Volkswagen,Passat,Universal,283000.0,1400.0,Metan/Propan,Manual,5990.0,13,21769.23076923077,3,3
Citroen,Rare,Hatchback,161000.0,2000.0,Hybrid,Automatic,11700.0,8,20125.0,4,2
Volkswagen,Tiguan,Crossover,112000.0,2000.0,Petrol,Automatic,8999.0,13,8615.384615384615,4,2
BMW,5 Series,Sedan,191000.0,3000.0,Petrol,Automatic,8490.0,14,13642.857142857143,4,2
Nissan,Qashqai,Crossover,133000.0,1500.0,Diesel,Manual,13500.0,5,26600.0,5,1
Seat,Rare,Hatchback,197000.0,1900.0,Diesel,Manual,6800.0,18,10944.444444444443,3,2
Renault,Kadjar,Crossover,178000.0,1500.0,Diesel,Automatic,14400.0,4,44500.0,5,1
Renault,Kadjar,Crossover,172000.0,1500.0,Diesel,Automatic,12499.0,7,24571.42857142857,5,1
Skoda,Fabia,Universal,181000.0,1200.0,Diesel,Manual,5490.0,11,16454.545454545456,3,3
Dacia,Logan,Sedan,154000.0,1500.0,Diesel,Manual,5400.0,6,25666.666666666668,3,3
Opel,Astra,Hatchback,224555.0,1400.0,Petrol,Manual,3499.0,17,13209.117647058823,3,4
Nissan,Qashqai,Crossover,143000.0,1500.0,Diesel,Manual,13300.0,7,20428.571428571428,5,1
Mercedes,E Class,Sedan,251995.0,2200.0,Diesel,Automatic,6999.0,18,13999.722222222224,3,2
BMW,X3,Crossover,267000.0,2000.0,Diesel,Manual,7350.0,16,16687.5,4,2
Renault,Megane,Universal,191000.0,1500.0,Diesel,Automatic,6500.0,9,21222.222222222223,3,3
Seat,Ibiza,Universal,178000.0,1200.0,Diesel,Manual,5490.0,10,17800.0,3,3
Ford,Kuga,Crossover,175000.0,1500.0,Diesel,Automatic,14900.0,4,43750.0,5,1
Opel,Astra,Universal,208555.0,1900.0,Diesel,Manual,5099.0,16,13034.6875,3,3
Mercedes,E Class,Sedan,176000.0,2200.0,Hybrid,Automatic,19800.0,8,22000.0,5,1
Volkswagen,Jetta,Sedan,177000.0,1400.0,Hybrid,Automatic,9490.0,9,19666.666666666668,4,2
Vaz,Rare,Hatchback,181000.0,1600.0,Petrol,Manual,1950.0,12,15083.333333333334,2,4
Volkswagen,Golf,Universal,269000.0,1400.0,Petrol,Automatic,5990.0,13,20692.30769230769,3,3
