Make,Model,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,class,prestige
BMW,X3,Crossover,107000.0,2000.0,Petrol,Automatic,14800.0,9,11888.888888888889,5,1
Renault,Megane,Universal,246372.0,1500.0,Diesel,Manual,3500.0,17,14492.470588235294,3,4
Volvo,XC90,SUV,170000.0,2400.0,Diesel,Automatic,19999.0,10,17000.0,5,1
BMW,Rare,Sedan,110000.0,1997.0,Petrol,Automatic,19499.0,7,15714.285714285714,5,1
Mitsubishi,Outlander,SUV,230000.0,2000.0,Plug-in Hybrid,Automatic,13200.0,9,25555.555555555555,5,1
Renault,Megane,Universal,230000.0,1461.0,Diesel,Manual,5400.0,9,25555.555555555555,3,3
BMW,5 Series,Sedan,152724.0,3000.0,Diesel,Automatic,34999.0,7,21817.714285714286,5,1
Toyota,Auris,Universal,133000.0,1800.0,Hybrid,Automatic,9999.0,8,16625.0,4,2
Renault,Kadjar,SUV,56000.0,1500.0,Diesel,Automatic,15199.0,6,9333.333333333334,5,1
Mercedes,C Class,Sedan,180000.0,2000.0,Plug-in Hybrid,Automatic,20999.0,6,30000.0,5,1
Ford,Fiesta,Hatchback,114000.0,1200.0,Petrol,Manual,5100.0,12,9500.0,3,3
Honda,Accord,Sedan,169000.0,2000.0,Plug-in Hybrid,Automatic,11600.0,9,18777.777777777777,4,2
Hyundai,Santa FE,SUV,230000.0,2199.0,Diesel,Automatic,14000.0,11,20909.090909090908,5,1
Ford,Fusion,Sedan,52000.0,1500.0,Petrol,Automatic,13000.0,4,13000.0,5,1
Opel,Astra,Universal,198118.0,1300.0,Diesel,Manual,6150.0,11,18010.727272727272,3,3
Honda,CR-V,Crossover,250000.0,2200.0,Diesel,Manual,8500.0,17,14705.882352941177,4,2
Mercedes,B Class,Universal,149711.0,1500.0,Diesel,Automatic,14699.0,4,37427.75,5,1
Volkswagen,Golf,Hatchback,249000.0,1400.0,Petrol,Manual,7199.0,13,19153.846153846152,4,2
Lexus,RX Series,Crossover,111220.0,3456.0,Hybrid,Automatic,43999.0,6,18536.666666666668,5,1
Chevrolet,Aveo,Sedan,170000.0,1400.0,Petrol,Automatic,4500.0,10,17000.0,3,3
Volkswagen,Passat,Universal,172000.0,1400.0,Petrol,Automatic,6000.0,12,14333.333333333334,3,3
Ford,Focus,Universal,175000.0,1500.0,Diesel,Manual,8099.0,7,25000.0,4,2
Ford,Fusion,Sedan,170000.0,1999.0,Hybrid,Automatic,9950.0,9,18888.88888888889,4,2
Dacia,Duster,Crossover,154202.0,1500.0,Diesel,Manual,9699.0,6,25700.33333333333,4,2
Honda,CR-V,Crossover,167085.0,1600.0,Diesel,Manual,16699.0,6,27847.5,5,1
Toyota,Auris,Universal,103894.0,1800.0,Hybrid,Automatic,11999.0,6,17315.666666666668,4,2
Skoda,Octavia,Sedan,12264.0,1600.0,Petrol,Manual,14000.0,3,4088.0,5,1
BMW,5 Series,Sedan,231068.0,1991.0,Metan/Propan,Manual,2369.0,30,7702.266666666666,2,4
BMW,5 Series,Sedan,179222.0,1995.0,Diesel,Automatic,16100.0,7,25603.14285714286,5,1
Lexus,NX Series,Crossover,24161.0,2500.0,Hybrid,Automatic,29499.0,6,4026.8333333333335,5,1
Lexus,IS Series,Sedan,48000.0,2000.0,Petrol,Automatic,23900.0,5,9600.0,5,1
Nissan,Primera,Universal,279000.0,1800.0,Metan/Propan,Manual,2999.0,17,16411.764705882353,2,4
Mitsubishi,Rare,Minivan,218800.0,2000.0,Metan/Propan,Manual,2700.0,21,10419.047619047618,2,4
Ford,Fusion,Sedan,73398.0,2000.0,Hybrid,Automatic,16699.0,5,14679.6,5,1
Volkswagen,Rare,Hatchback,190000.0,1400.0,Petrol,Automatic,6300.0,13,14615.384615384615,3,3
Lexus,IS Series,Sedan,167299.0,2500.0,Hybrid,Automatic,17699.0,6,27883.166666666668,5,1
KIA,Sorento,SUV,158235.0,2200.0,Diesel,Automatic,21999.0,7,22605.0,5,1
Dacia,Sandero,Hatchback,224000.0,1200.0,Petrol,Manual,3400.0,13,17230.76923076923,3,4
Toyota,Auris,Hatchback,71646.0,1400.0,Diesel,Manual,10999.0,6,11941.0,4,2
BMW,5 Series,Sedan,300000.0,2200.0,Petrol,Manual,5250.0,20,15000.0,3,3
Mercedes,M Class,SUV,144700.0,2200.0,Diesel,Automatic,23000.0,10,14470.0,5,1
Nissan,Juke,Crossover,151000.0,1600.0,Petrol,Automatic,10300.0,9,16777.777777777777,4,2
BMW,Rare,Sedan,152724.0,3000.0,Diesel,Automatic,34999.0,7,21817.714285714286,5,1
BMW,X5,SUV,350000.0,3000.0,Metan/Propan,Automatic,8999.0,16,21875.0,4,2
Nissan,Rare,Microvan,180250.0,1500.0,Diesel,Manual,8000.0,10,18025.0,4,2
Nissan,Rare,Minivan,151000.0,1500.0,Diesel,Manual,8700.0,9,16777.777777777777,4,2
Porsche,Rare,SUV,50000.0,2000.0,Petrol,Automatic,37999.0,4,12500.0,5,1
BMW,Rare,Hatchback,138000.0,1500.0,Diesel,Manual,10800.0,7,19714.285714285717,4,2
Toyota,Land Cruiser Prado,SUV,45000.0,2700.0,Petrol,Automatic,25100.0,6,7500.0,5,1
BMW,7 Series,Sedan,150000.0,3000.0,Diesel,Automatic,36999.0,6,25000.0,5,1
Nissan,Qashqai,Crossover,146000.0,1500.0,Diesel,Manual,12400.0,5,29200.0,5,1
Toyota,Rare,Hatchback,175000.0,1400.0,Diesel,Manual,7299.0,9,19444.444444444445,4,2
Mercedes,Rare,Coupe,67000.0,2500.0,Petrol,Automatic,21500.0,7,9571.42857142857,5,1
Chevrolet,Rare,Hatchback,200000.0,1400.0,Metan/Propan,Manual,2400.0,15,13333.333333333334,2,4
Volkswagen,Rare,Minivan,60000.0,2000.0,Diesel,Automatic,29999.0,7,8571.42857142857,5,1
Opel,Astra,Universal,148000.0,1400.0,Metan/Propan,Manual,7600.0,9,16444.444444444445,4,2
BMW,Rare,Hatchback,145000.0,1500.0,Diesel,Automatic,14200.0,5,29000.0,5,1
Volkswagen,Rare,Hatchback,213619.0,1200.0,Petrol,Manual,2600.0,14,15258.5,2,4
Volvo,Rare,Crossover,120000.0,2400.0,Diesel,Automatic,24000.0,5,24000.0,5,1
Renault,Grand Scenic,Universal,204745.0,1500.0,Diesel,Automatic,7999.0,7,29249.285714285717,4,2
Dacia,Rare,Universal,79000.0,1600.0,Petrol,Manual,5900.0,8,9875.0,3,3
Volkswagen,Golf,Hatchback,44900.0,1600.0,Diesel,Automatic,18500.0,3,14966.666666666666,5,1
Toyota,Land Cruiser Prado,SUV,250000.0,3000.0,Diesel,Automatic,17800.0,16,15625.0,5,1
Toyota,Avensis,Universal,215000.0,1800.0,Petrol,Manual,6500.0,16,13437.5,3,3
Skoda,Octavia,Universal,150000.0,1400.0,Petrol,Automatic,8400.0,10,15000.0,4,2
Volkswagen,Touran,Minivan,133500.0,1400.0,Petrol,Automatic,8900.0,8,16687.5,4,2
Toyota,Auris,Universal,123000.0,1800.0,Hybrid,Automatic,12350.0,6,20500.0,5,1
Audi,A6,Sedan,50000.0,1968.0,Diesel,Automatic,33900.0,3,16666.666666666668,5,1
Mazda,Rare,Hatchback,340000.0,1600.0,Petrol,Manual,2600.0,19,17894.736842105263,2,4
Seat,Rare,Minivan,192000.0,1400.0,Petrol,Manual,6600.0,10,19200.0,3,3
Toyota,Land Cruiser Prado,SUV,190000.0,2694.0,Metan/Propan,Automatic,18400.0,12,15833.333333333334,5,1
Ford,C-Max,Minivan,249000.0,1800.0,Metan/Propan,Manual,3850.0,18,13833.333333333334,3,3
Dacia,Duster,Crossover,174780.0,1461.0,Diesel,Manual,8450.0,8,21847.5,4,2
Honda,CR-V,Crossover,163000.0,2199.0,Diesel,Manual,15199.0,9,18111.11111111111,5,1
Audi,Q7,SUV,62000.0,1984.0,Petrol,Automatic,35000.0,5,12400.0,5,1
Ford,Mondeo,Sedan,73398.0,2000.0,Hybrid,Automatic,16699.0,5,14679.6,5,1
Volkswagen,Caddy,Minivan,280000.0,1900.0,Diesel,Manual,5750.0,12,23333.33333333333,3,3
BMW,Rare,Hatchback,139000.0,1500.0,Diesel,Manual,10800.0,6,23166.666666666668,4,2
Porsche,Cayenne,SUV,117000.0,3000.0,Diesel,Automatic,55999.0,6,19500.0,5,1
Volkswagen,Touareg,SUV,225000.0,3000.0,Hybrid,Automatic,16999.0,10,22500.0,5,1
Mercedes,Vito,Minivan,250000.0,2200.0,Diesel,Manual,7700.0,14,17857.14285714286,4,2
Land Rover,Range Rover,SUV,260000.0,3600.0,Diesel,Automatic,14600.0,14,18571.42857142857,5,1
BMW,5 Series,Sedan,219000.0,1995.0,Diesel,Automatic,14500.0,10,21900.0,5,1
Mercedes,C Class,Sedan,141000.0,1999.0,Petrol,Automatic,13333.0,10,14100.0,5,1
Toyota,Rare,Sedan,413000.0,1800.0,Petrol,Manual,2200.0,25,16520.0,2,4
Seat,Rare,Hatchback,130000.0,1400.0,Metan/Propan,Manual,9000.0,8,16250.0,4,2
Ford,Fusion,Hatchback,111000.0,1388.0,Petrol,Automatic,4500.0,12,9250.0,3,3
BMW,Rare,Coupe,63000.0,3000.0,Petrol,Automatic,36500.0,6,10500.0,5,1
Nissan,Rare,SUV,150000.0,3000.0,Diesel,Automatic,10999.0,19,7894.736842105263,4,2
BMW,Rare,Sedan,61000.0,3000.0,Petrol,Automatic,36500.0,6,10166.666666666666,5,1
Dacia,Logan Mcv,Combi,149000.0,1000.0,Petrol,Manual,4900.0,9,16555.555555555555,3,3
Renault,Grand Scenic,Microvan,140000.0,1200.0,Petrol,Manual,6350.0,8,17500.0,3,3
Toyota,Land Cruiser Prado,SUV,430000.0,3000.0,Diesel,Automatic,12500.0,15,28666.666666666668,5,1
Toyota,Rare,Sedan,400000.0,1600.0,Petrol,Manual,1800.0,29,13793.103448275862,2,4
Volkswagen,Rare,Hatchback,260000.0,1900.0,Diesel,Manual,4699.0,17,15294.117647058823,3,3
BMW,7 Series,Sedan,285000.0,3000.0,Metan/Propan,Automatic,7999.0,16,17812.5,4,2
Volkswagen,Jetta,Sedan,200000.0,1400.0,Petrol,Automatic,7700.0,10,20000.0,4,2
Skoda,Superb,Sedan,343000.0,1400.0,Petrol,Manual,6750.0,12,28583.33333333333,3,3
Hyundai,Accent,Sedan,215631.0,1500.0,Diesel,Manual,3850.0,15,14375.4,3,3
Mercedes,C Class,Sedan,75000.0,2000.0,Petrol,Automatic,18999.0,7,10714.285714285714,5,1
Mercedes,C Class,Sedan,20000.0,2000.0,Petrol,Automatic,20499.0,5,4000.0,5,1
Opel,Astra,Universal,181000.0,1300.0,Diesel,Manual,6449.0,10,18100.0,3,3
Renault,Grand Scenic,Minivan,212000.0,1500.0,Diesel,Manual,6350.0,13,16307.692307692309,3,3
Toyota,Rare,Hatchback,120000.0,1800.0,Plug-in Hybrid,Automatic,16500.0,6,20000.0,5,1
Ford,Rare,SUV,250000.0,4000.0,Metan/Propan,Automatic,1700.0,30,8333.333333333334,2,4
Audi,A6,Sedan,3000.0,3000.0,Diesel,Automatic,10500.0,17,176.47058823529412,4,2
Dacia,Logan,Sedan,320000.0,1600.0,Metan/Propan,Manual,3200.0,14,22857.14285714286,3,4
Volkswagen,Tiguan,Crossover,165796.0,2000.0,Petrol,Automatic,12999.0,10,16579.6,5,1
Opel,Zafira,Microvan,171000.0,1998.0,Diesel,Automatic,13900.0,5,34200.0,5,1
Volkswagen,Golf,Hatchback,178000.0,1400.0,Petrol,Manual,4623.0,15,11866.666666666666,3,3
Ford,Rare,Sedan,57391.0,1999.0,Petrol,Automatic,11800.0,9,6376.777777777777,4,2
BMW,Rare,Universal,158000.0,1500.0,Diesel,Automatic,13999.0,6,26333.33333333333,5,1
Lexus,NX Series,Crossover,75999.0,2000.0,Petrol,Automatic,24500.0,5,15199.8,5,1
Mercedes,Viano,Minivan,165000.0,2190.0,Diesel,Automatic,15300.0,10,16500.0,5,1
Mercedes,C Class,Sedan,290000.0,200.0,Petrol,Manual,3800.0,21,13809.52380952381,3,3
Ford,Mondeo,Hatchback,200000.0,1999.0,Petrol,Manual,5830.0,13,15384.615384615385,3,3
Audi,A6,Sedan,89000.0,2000.0,Diesel,Automatic,26890.0,5,17800.0,5,1
Mazda,Rare,Sedan,222788.0,1600.0,Petrol,Manual,5300.0,14,15913.42857142857,3,3
Lexus,CT Series,Hatchback,113000.0,1800.0,Hybrid,Automatic,10000.0,11,10272.727272727272,4,2
Skoda,Octavia,Minivan,187000.0,1998.0,Diesel,Automatic,14899.0,5,37400.0,5,1
Volvo,XC90,SUV,137000.0,200.0,Diesel,Automatic,32400.0,5,27400.0,5,1
Renault,Grand Scenic,Minivan,185000.0,1500.0,Diesel,Automatic,7500.0,10,18500.0,4,2
Ford,Fiesta,Sedan,55000.0,1600.0,Petrol,Automatic,7999.0,4,13750.0,4,2
Skoda,Octavia,Universal,260000.0,1600.0,Metan/Propan,Manual,4100.0,15,17333.333333333332,3,3
Toyota,Avensis,Sedan,365000.0,1795.0,Petrol,Manual,3600.0,22,16590.909090909092,3,4
Dacia,Logan Mcv,Universal,260000.0,1461.0,Diesel,Manual,4500.0,14,18571.42857142857,3,3
Skoda,Octavia,Sedan,257000.0,2000.0,Petrol,Manual,4500.0,16,16062.5,3,3
Mercedes,E Class,Sedan,50100.0,1950.0,Diesel,Automatic,34999.0,5,10020.0,5,1
Toyota,Prius,Sedan,91000.0,1800.0,Hybrid,Automatic,8300.0,10,9100.0,4,2
Lexus,GS Series,Sedan,267000.0,2995.0,Petrol,Automatic,10900.0,16,16687.5,4,2
BMW,5 Series,Sedan,210000.0,2497.0,Diesel,Manual,5200.0,17,12352.941176470587,3,3
Smart,Rare,Coupe,101500.0,999.0,Petrol,Automatic,3700.0,15,6766.666666666667,3,3
Ford,Rare,Universal,94400.0,1499.0,Diesel,Manual,10499.0,3,31466.666666666668,4,2
Toyota,Corolla,Hatchback,213000.0,1400.0,Diesel,Manual,5299.0,17,12529.411764705885,3,3
Volvo,Rare,Universal,198000.0,2400.0,Plug-in Hybrid,Automatic,14900.0,6,33000.0,5,1
Renault,Laguna,Universal,260000.0,1500.0,Diesel,Manual,4800.0,13,20000.0,3,3
Fiat,Rare,Combi,128000.0,1600.0,Diesel,Manual,5400.0,8,16000.0,3,3
Toyota,Prius,Hatchback,195000.0,1500.0,Hybrid,Automatic,6500.0,13,15000.0,3,3
Toyota,C-HR,Crossover,167000.0,1800.0,Hybrid,Automatic,18299.0,5,33400.0,5,1
BMW,5 Series,Sedan,91000.0,1995.0,Diesel,Automatic,26200.0,6,15166.666666666666,5,1
Mercedes,Series (W124),Sedan,400000.0,2200.0,Metan/Propan,Automatic,5499.0,28,14285.714285714286,3,3
Volkswagen,Rare,Hatchback,187000.0,1390.0,Petrol,Manual,5600.0,15,12466.666666666666,3,3
Nissan,Qashqai,Crossover,127000.0,2000.0,Petrol,Automatic,9700.0,10,12700.0,4,2
Mercedes,E Class,Universal,310000.0,2200.0,Diesel,Manual,8000.0,14,22142.85714285714,4,2
Honda,Civic,Coupe,450000.0,1500.0,Petrol,Manual,1800.0,28,16071.42857142857,2,4
Toyota,Auris,Universal,250000.0,1400.0,Diesel,Manual,7599.0,9,27777.777777777777,4,2
Renault,Kadjar,Crossover,156000.0,1500.0,Diesel,Automatic,12300.0,6,26000.0,5,1
Mercedes,E Class,Sedan,238000.0,2200.0,Diesel,Manual,3300.0,26,9153.846153846154,3,4
Hyundai,Rare,SUV,45000.0,1600.0,Petrol,Automatic,14450.0,5,9000.0,5,1
Toyota,Prius,Hatchback,135000.0,1800.0,Hybrid,Automatic,11000.0,6,22500.0,4,2
Ford,Focus,Universal,195234.0,1600.0,Metan/Propan,Manual,6000.0,10,19523.4,3,3
Nissan,Qashqai,SUV,94000.0,2000.0,Petrol,Automatic,11650.0,10,9400.0,4,2
Hyundai,Tucson,Crossover,145000.0,2000.0,Diesel,Automatic,19350.0,5,29000.0,5,1
Volvo,XC60,SUV,166000.0,2400.0,Diesel,Automatic,20899.0,6,27666.666666666668,5,1
Suzuki,Rare,Crossover,37000.0,1600.0,Petrol,Automatic,14650.0,5,7400.0,5,1
Skoda,Superb,Universal,194000.0,1400.0,Petrol,Manual,8000.0,13,14923.076923076924,4,2
Renault,Rare,Crossover,132856.0,1500.0,Diesel,Automatic,12890.0,4,33214.0,5,1
Renault,Kadjar,Crossover,167000.0,1461.0,Diesel,Manual,12549.0,6,27833.33333333333,5,1
Renault,Rare,Universal,173321.0,1461.0,Diesel,Manual,6000.0,9,19257.88888888889,3,3
Volkswagen,Caddy,Combi,258000.0,1900.0,Diesel,Manual,2850.0,19,13578.947368421052,2,4
Renault,Megane,Hatchback,139000.0,1500.0,Diesel,Manual,10900.0,6,23166.666666666668,4,2
BMW,5 Series,Sedan,217000.0,2000.0,Diesel,Automatic,17001.0,8,27125.0,5,1
Nissan,Qashqai,Crossover,35000.0,1200.0,Petrol,Manual,12200.0,7,5000.0,5,1
Mercedes,C Class,Sedan,191100.0,2000.0,Metan/Propan,Manual,2850.0,23,8308.695652173914,2,4
Ford,Fiesta,Hatchback,111111.0,1500.0,Diesel,Manual,6200.0,6,18518.5,3,3
GAZ,Rare,Sedan,160000.0,2445.0,Petrol,Manual,900.0,33,4848.484848484848,1,4
Volkswagen,Caddy,Minivan,260000.0,1998.0,Diesel,Manual,3900.0,15,17333.333333333332,3,3
Nissan,Qashqai,Crossover,159500.0,1500.0,Diesel,Manual,11890.0,6,26583.33333333333,4,2
Renault,Kadjar,SUV,140000.0,1500.0,Diesel,Manual,14900.0,6,23333.33333333333,5,1
Seat,Ibiza,Universal,183000.0,1200.0,Diesel,Manual,4200.0,12,15250.0,3,3
Opel,Insignia,Universal,184211.0,1400.0,Metan/Propan,Manual,6850.0,10,18421.1,3,2
Dacia,Duster,Crossover,140000.0,1500.0,Diesel,Manual,8200.0,7,20000.0,4,2
Opel,Astra,Universal,190000.0,1300.0,Diesel,Manual,6100.0,11,17272.727272727272,3,3
Dacia,Duster,Crossover,140000.0,1500.0,Diesel,Manual,7950.0,6,23333.33333333333,4,2
BMW,5 Series,Sedan,270000.0,2500.0,Diesel,Automatic,7800.0,16,16875.0,4,2
Dacia,Duster,Crossover,140000.0,1500.0,Diesel,Manual,8100.0,7,20000.0,4,2
Volkswagen,Polo,Hatchback,180000.0,1200.0,Petrol,Manual,3050.0,18,10000.0,3,4
Toyota,Corolla,Sedan,162000.0,1400.0,Diesel,Manual,9299.0,7,23142.85714285714,4,2
Opel,Astra,Universal,164554.0,1400.0,Petrol,Manual,6000.0,10,16455.4,3,3
Volkswagen,Sharan,Minivan,268000.0,2800.0,Metan/Propan,Manual,4500.0,21,12761.90476190476,3,3
Volkswagen,Passat,Sedan,190000.0,1600.0,Petrol,Manual,4299.0,18,10555.555555555557,3,3
Toyota,Rav 4,Crossover,209000.0,2000.0,Diesel,Manual,5200.0,20,10450.0,3,3
Renault,Grand Scenic,Minivan,137700.0,1500.0,Diesel,Manual,8499.0,7,19671.42857142857,4,2
KIA,Rare,Sedan,280000.0,2000.0,Petrol,Manual,3200.0,19,14736.842105263158,3,4
BMW,5 Series,Sedan,260000.0,2500.0,Diesel,Automatic,5000.0,16,16250.0,3,3
Opel,Insignia,Sedan,153000.0,1390.0,Petrol,Manual,8299.0,11,13909.09090909091,4,2
BMW,X5,SUV,250000.0,3000.0,Diesel,Automatic,5000.0,17,14705.882352941177,3,3
Volkswagen,Golf,Hatchback,275142.0,1400.0,Petrol,Manual,2850.0,21,13102.0,2,4
Mercedes,E Class,Sedan,239000.0,2200.0,Diesel,Automatic,16500.0,10,23900.0,5,1
Renault,Kangoo,Minivan,220000.0,1900.0,Diesel,Manual,1750.0,20,11000.0,2,4
Land Rover,Freelander,SUV,10000.0,2000.0,Diesel,Manual,4000.0,23,434.7826086956522,3,3
Volkswagen,Passat,Universal,299000.0,1900.0,Diesel,Manual,2300.0,18,16611.11111111111,2,4
BMW,7 Series,Sedan,303000.0,3000.0,Diesel,Automatic,10900.0,17,17823.529411764706,4,2
KIA,Sportage,Crossover,216000.0,1700.0,Diesel,Manual,11300.0,11,19636.36363636364,4,2
Nissan,Qashqai,SUV,152700.0,1500.0,Diesel,Manual,12350.0,7,21814.285714285717,5,1
Ford,Fiesta,Hatchback,100000.0,1500.0,Diesel,Manual,6399.0,6,16666.666666666668,3,3
Volkswagen,Rare,Sedan,317000.0,1600.0,Petrol,Manual,3800.0,22,14409.09090909091,3,3
Dacia,Logan Mcv,Universal,238000.0,1400.0,Petrol,Manual,2100.0,15,15866.666666666666,2,4
Toyota,Avensis,Sedan,199500.0,1800.0,Metan/Propan,Automatic,6800.0,16,12468.75,3,2
Volkswagen,Caddy,Minivan,150000.0,200.0,Metan/Propan,Manual,11500.0,8,18750.0,4,2
Toyota,Camry,Sedan,211000.0,2400.0,Metan/Propan,Automatic,5500.0,20,10550.0,3,3
BMW,7 Series,Sedan,189321.0,4400.0,Petrol,Automatic,15990.0,12,15776.75,5,1
Toyota,Rare,Minivan,494494.0,2400.0,Metan/Propan,Manual,5500.0,22,22477.0,3,3
Toyota,Yaris,Hatchback,134000.0,1400.0,Diesel,Manual,5800.0,11,12181.818181818182,3,3
Mitsubishi,Rare,Crossover,20000.0,1500.0,Petrol,Automatic,14900.0,3,6666.666666666667,5,1
Renault,Clio,Hatchback,185653.0,1500.0,Diesel,Manual,2790.0,16,11603.3125,2,4
Hyundai,Sonata,Sedan,52000.0,2000.0,Hybrid,Automatic,11999.0,7,7428.571428571428,4,2
BMW,Rare,Sedan,157000.0,2000.0,Petrol,Automatic,18499.0,8,19625.0,5,1
Honda,CR-V,SUV,327000.0,2400.0,Petrol,Automatic,5990.0,20,16350.0,3,3
Hyundai,Accent,Hatchback,190000.0,1300.0,Petrol,Manual,2600.0,18,10555.555555555557,2,4
Audi,A5,Coupe,165639.0,2000.0,Petrol,Manual,10990.0,13,12741.46153846154,4,2
Skoda,Superb,Sedan,192000.0,1800.0,Petrol,Automatic,8000.0,13,14769.23076923077,4,2
Audi,Q5,Crossover,45000.0,2000.0,Hybrid,Automatic,21900.0,9,5000.0,5,1
Renault,Kadjar,Crossover,171300.0,1500.0,Diesel,Automatic,13700.0,6,28550.0,5,1
Mercedes,C Class,Sedan,350000.0,2000.0,Metan/Propan,Manual,1650.0,25,14000.0,2,4
Volkswagen,Touran,Universal,161000.0,1400.0,Petrol,Automatic,5900.0,14,11500.0,3,3
Opel,Astra,Universal,303799.0,1598.0,Metan/Propan,Manual,1995.0,27,11251.814814814816,2,4
Mitsubishi,Outlander,Crossover,223000.0,2000.0,Petrol,Manual,4999.0,18,12388.888888888889,3,3
Hyundai,ix35,SUV,175000.0,2000.0,Diesel,Automatic,13999.0,8,21875.0,5,1
KIA,Ceed,Hatchback,213000.0,1600.0,Diesel,Manual,4690.0,13,16384.615384615383,3,3
Renault,Megane,Universal,140000.0,1500.0,Diesel,Automatic,9700.0,5,28000.0,4,2
Toyota,Auris,Hatchback,125000.0,1800.0,Hybrid,Automatic,12499.0,7,17857.14285714286,5,1
BMW,5 Series,Sedan,234000.0,2200.0,Petrol,Automatic,6290.0,17,13764.70588235294,3,3
Mazda,Rare,Sedan,195085.0,2000.0,Metan/Propan,Automatic,2300.0,21,9289.761904761905,2,4
Opel,Zafira,Microvan,191000.0,1600.0,Petrol,Manual,4350.0,17,11235.29411764706,3,3
Mercedes,Vito,Microvan,300000.0,2300.0,Diesel,Manual,2290.0,22,13636.363636363636,2,4
Nissan,Almera,Sedan,183085.0,1500.0,Petrol,Manual,2650.0,17,10769.70588235294,2,4
Volkswagen,Touran,Minivan,187000.0,1400.0,Petrol,Manual,5750.0,13,14384.615384615385,3,3
Mercedes,Rare,Minivan,289000.0,2200.0,Diesel,Manual,5190.0,21,13761.90476190476,3,3
Volkswagen,Rare,Sedan,203000.0,1600.0,Metan/Propan,Manual,3650.0,17,11941.176470588236,3,3
Nissan,Qashqai,Crossover,157300.0,1500.0,Diesel,Manual,12390.0,5,31460.0,5,1
Skoda,Fabia,Universal,250000.0,1400.0,Metan/Propan,Manual,3490.0,17,14705.882352941177,3,4
Chevrolet,Rare,Sedan,190000.0,2000.0,Diesel,Automatic,6490.0,15,12666.666666666666,3,3
BMW,Rare,Universal,215000.0,1600.0,Petrol,Automatic,5990.0,15,14333.333333333334,3,3
Renault,Megane,Universal,156000.0,1461.0,Diesel,Automatic,6450.0,11,14181.818181818182,3,3
BMW,7 Series,Sedan,111111.0,3000.0,Diesel,Automatic,4500.0,22,5050.5,3,3
Toyota,Avensis Verso,Minivan,300000.0,2000.0,Diesel,Manual,2200.0,20,15000.0,2,4
Mitsubishi,Rare,Pickup,61700.0,2400.0,Metan/Propan,Manual,9990.0,15,4113.333333333333,4,2
Alfa Romeo,Rare,Sedan,210000.0,2400.0,Diesel,Manual,11000.0,20,10500.0,4,2
Volkswagen,Golf,Hatchback,381084.0,1576.0,Petrol,Manual,850.0,33,11548.0,1,4
Renault,Scenic,Minivan,222222.0,1500.0,Diesel,Manual,4050.0,15,14814.8,3,3
Mercedes,B Class,Universal,238000.0,1500.0,Diesel,Manual,10050.0,8,29750.0,4,2
Volkswagen,Passat,Universal,285000.0,1600.0,Diesel,Manual,8999.0,10,28500.0,4,2
Hyundai,Getz,Hatchback,20500.0,1300.0,Petrol,Manual,2500.0,17,1205.8823529411766,2,4
KIA,Ceed,Sedan,91000.0,1400.0,Petrol,Manual,7000.0,9,10111.111111111111,3,2
Hyundai,Accent,Sedan,300000.0,1500.0,Metan/Propan,Automatic,1200.0,26,11538.46153846154,2,4
Toyota,Rare,Minivan,300000.0,2000.0,Diesel,Manual,4200.0,20,15000.0,3,3
Volkswagen,Touran,Minivan,217000.0,1400.0,Petrol,Manual,5850.0,13,16692.30769230769,3,3
Skoda,Octavia,Universal,178000.0,1400.0,Petrol,Automatic,9900.0,8,22250.0,4,2
Dacia,Sandero,Hatchback,150000.0,1400.0,Petrol,Manual,3450.0,14,10714.285714285714,3,4
Ford,Transit Connect,Universal,153000.0,1753.0,Diesel,Manual,4350.0,11,13909.09090909091,3,3
Toyota,Rare,Minivan,206000.0,1800.0,Hybrid,Automatic,10390.0,8,25750.0,4,2
Opel,Astra,Universal,174000.0,1400.0,Petrol,Manual,4490.0,14,12428.57142857143,3,3
Toyota,Auris,Universal,157000.0,1800.0,Hybrid,Automatic,11750.0,7,22428.571428571428,4,2
Ford,Fiesta,Hatchback,137000.0,1000.0,Petrol,Manual,5999.0,8,17125.0,3,3
Hyundai,Accent,Hatchback,136000.0,1500.0,Petrol,Automatic,2650.0,20,6800.0,2,4
Volkswagen,Rare,Sedan,186000.0,1600.0,Petrol,Manual,1500.0,22,8454.545454545454,2,4
Dacia,Logan,Sedan,135000.0,1200.0,Metan/Propan,Manual,2450.0,6,22500.0,2,4
Rare,Rare,Sedan,200000.0,1500.0,Petrol,Manual,1300.0,14,14285.714285714286,2,4
Honda,CR-V,Universal,161200.0,1598.0,Diesel,Manual,13800.0,8,20150.0,5,1
Vaz,Rare,Sedan,98000.0,1300.0,Petrol,Manual,950.0,32,3062.5,1,4
Ford,Fusion,Sedan,67000.0,2000.0,Hybrid,Automatic,13000.0,5,13400.0,5,1
Opel,Astra,Pickup,190000.0,1300.0,Diesel,Manual,6250.0,11,17272.727272727272,3,3
KIA,Sportage,Crossover,56000.0,2400.0,Petrol,Automatic,8600.0,8,7000.0,4,2
BMW,5 Series,Sedan,200000.0,2000.0,Diesel,Automatic,10600.0,13,15384.615384615385,4,2
Daewoo,Rare,Hatchback,89000.0,800.0,Petrol,Manual,500.0,9,9888.888888888889,1,4
Toyota,Corolla,Hatchback,320000.0,1400.0,Petrol,Manual,3500.0,19,16842.105263157893,3,4
